run_id,train_file,corruption_scheme,n_samples,n_features,d0,k0,k0_ratio,time_limit,mip_gap_target,status_name,solved_to_optimality,objective_value,best_bound,mip_gap,runtime_sec,node_count,selected_features,detected_outliers,estimated_z,selected_coefficients,train_lad_authentic,train_mae_all,train_mse_all,true_features,true_outliers,error_message
31,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,15,0.10,300.0,0.0001,OPTIMAL,True,0.750587663226483,0.750587663226483,0.0,0.3730340003967285,1.0,"[0,1,2,3,4,5,8]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.4684896383691894,"{""0"":0.9999999797225732,""1"":0.9999999845811575,""2"":0.9999999788134895,""3"":1.0000000137564993,""4"":0.9999999896559318,""5"":-2.4313882323294368e-08,""8"":0.0}",112.58815171066553,1.7686025199243705,11.760090288753508,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
32,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,23,0.15,300.0,0.0001,OPTIMAL,True,0.5902175956785172,0.5902175956785172,0.0,0.37071704864501953,1.0,"[0,1,2,3,4,27,48]","[3,8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,107,131]",-2.4684896502198552,"{""0"":0.9999999962931474,""1"":1.000000000741949,""2"":1.0000000040606727,""3"":0.9999999990276464,""4"":0.9999999979807014,""27"":0.0,""48"":8.001003910788318e-10}",88.53263966890184,1.7686025136934374,11.76009032630832,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
33,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,7,30,0.20,300.0,0.0001,OPTIMAL,True,0.5070475441275768,0.5070475441275768,0.0,0.35931992530822754,1.0,"[0,1,2,3,4,15,31]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.4684896514658723,"{""0"":1.0000000024281628,""1"":0.9999999994712653,""2"":1.0000000010814132,""3"":1.0000000087335807,""4"":1.0000000031128957,""15"":-3.1881196234731758e-09,""31"":-6.8392513768752395e-09}",76.05713207658725,1.7686025141321045,11.76009034518051,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
34,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,15,0.10,300.0,0.0001,OPTIMAL,True,0.7505876681358643,0.7505876681358643,0.0,0.45204997062683105,1.0,"[0,1,2,3,4,18,20,21,34]","[8,10,12,19,33,39,45,50,65,69,72,74,77,87,107]",-2.4684896539902987,"{""0"":0.9999999994165538,""1"":0.9999999975979208,""2"":1.0000000002967082,""3"":0.9999999959454149,""4"":0.9999999977565472,""18"":-4.424081688417645e-09,""20"":2.2707292745200655e-09,""21"":-3.170779621390879e-09,""34"":-5.380965730708177e-09}",112.58815073262409,1.7686025147031013,11.760090320727278,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
35,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,23,0.15,300.0,0.0001,OPTIMAL,True,0.5902175944036578,0.5902175944036578,0.0,0.45226597785949707,1.0,"[0,1,2,3,4,24,25,29,43]","[3,8,10,12,15,18,19,33,39,44,45,49,50,65,69,70,72,74,77,85,87,107,131]",-2.468489653678067,"{""0"":1.0000000038818522,""1"":0.9999999966233882,""2"":1.0000000033462797,""3"":0.9999999976139718,""4"":0.9999999983880415,""24"":-9.774985407670087e-09,""25"":-3.1799965030748085e-09,""29"":-1.7943611883574353e-09,""43"":5.550165433879569e-09}",88.53263927828618,1.768602512226208,11.76009033769284,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
36,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_1.dat,vertical_outliers,150,49,9,30,0.20,300.0,0.0001,OPTIMAL,True,0.5070475403942041,0.5070475403942041,0.0,0.3926360607147217,1.0,"[0,1,2,3,4,16,17,23,48]","[3,8,10,12,15,18,19,21,23,33,39,44,45,49,50,59,62,65,69,70,72,74,77,83,85,87,106,107,130,131]",-2.468489650258161,"{""0"":1.000000005917122,""1"":0.9999999986212071,""2"":1.0000000079981266,""3"":0.999999989700845,""4"":1.0,""16"":3.112591024639006e-09,""17"":3.617017092056562e-09,""23"":6.013630072015842e-09,""48"":5.410642677924419e-09}",76.05713246157352,1.7686025160692707,11.760090325869632,"[0,1,2,3,4]","[8,10,12,19,33,39,45,50,65,69,72,74,77,85,87,107]",
37,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_2.dat,vertical_outliers,150,49,5,15,0.10,300.0,0.0001,OPTIMAL,True,0.7199966144913788,0.7199966144913788,0.0,0.3586888313293457,1.0,"[0,1,2,3,4]","[8,18,20,24,27,28,59,62,79,97,98,99,108,124,139]",-1.033760804194488,"{""0"":1.0000000013836519,""1"":0.9999999965039589,""2"":0.9999999933292468,""3"":0.9999999944657542,""4"":0.9999999937348797}",107.99949237047161,1.5418354239249128,8.541973939942652,"[0,1,2,3,4]","[8,18,20,24,27,28,62,79,98,108,124,139]",
38,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_2.dat,vertical_outliers,150,49,5,23,0.15,300.0,0.0001,OPTIMAL,True,0.6121551013609192,0.6121551013609192,0.0,0.36100196838378906,1.0,"[0,1,2,3,4]","[8,18,20,24,27,28,36,37,54,59,62,64,78,79,80,87,97,98,99,108,124,126,139]",-1.0337608031325591,"{""0"":1.0000000022544222,""1"":1.0,""2"":1.0,""3"":1.0,""4"":1.0}",91.82326634848789,1.5418354263385812,8.541973956232919,"[0,1,2,3,4]","[8,18,20,24,27,28,62,79,98,108,124,139]",
39,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_2.dat,vertical_outliers,150,49,5,30,0.20,300.0,0.0001,OPTIMAL,True,0.5309236357465039,0.5309236357465039,0.0,0.3034400939941406,1.0,"[0,1,2,3,4]","[4,8,18,20,22,24,26,27,28,36,37,54,59,62,64,72,78,79,80,87,96,97,98,99,108,111,124,126,135,139]",-1.0337608010165042,"{""0"":1.0,""1"":0.9999999912356079,""2"":0.9999999965271478,""3"":1.0000000115509848,""4"":1.000000001046945}",79.63854608741474,1.5418354233889788,8.54197396752759,"[0,1,2,3,4]","[8,18,20,24,27,28,62,79,98,108,124,139]",
40,data/raw/synthetic/vertical_outliers/test150322_150_50_01_2_0_5_-10_2.dat,vertical_outliers,150,49,7,15,0.10,300.0,0.0001,OPTIMAL,True,0.7199966116918084,0.7199966116918084,0.0,0.34542417526245117,1.0,"[0,1,2,3,4,29,48]","[8,18,20,24,27,28,59,62,79,97,98,99,108,124,139]",-1.0337607965931155,"{""0"":1.0000000060344938,""1"":1.0,""2"":1.0000000041449717,""3"":1.0000000012805288,""4"":1.0000000037019954,""29"":-4.836145316442206e-09,""48"":-5.742201479944437e-09}",107.99949215471042,1.5418354250861086,8.54197399161118,"[0,1,2,3,4]","[8,18,20,24,27,28,62,79,98,108,124,139]",
